jurisdiction,country_name
fara,UNKNOWN
fara,URUGUAY
fara,USSR
fara,UZBEKISTAN
fara,VANUATU
fara,VATICAN CITY
fara,VENDA
fara,VENEZUELA
fara,VIETNAM
fara,VIRGIN ISLANDS
fara,WEST BERLIN
fara,WESTERN SAMOA
fara,YEMEN
fara,"YEMEN, PEOPLES DEMOCRATIC REPUBLIC OF YEMEN"
fara,YUGOSLAVIA
fara,ZAIRE
fara,ZAMBIA
fara,ZIMBABWE
